"reward","assignmentid","workerid","assignmentaccepttime","assignmentsubmittime","response","confidence","trivialArgument","argtype","qnumber","property","p1animal","p2animal","cows","chimps","gorillas","mice","squirrels","elephants","seals","rhinos","dolphins","horses","mammals","animals","modal","rt","premisecode","language"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",5,"false","contingent",0,"require trace amounts of magnesium for reproduction","gorillas","rhinos",0,0,1,0,0,0,0,1,0,0,0,0,"certain",12399,"pc001000010000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",4,"false","contingent",1,"use norephinephrine as a regulator of sexual drive","seals","squirrels",0,0,0,0,1,0,1,0,0,0,0,0,"plausible",12813,"pc000010100000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",5,"true","inclusion",2,"require oxydilic acid for good digestion","animals","cows",1,0,0,0,0,0,0,0,0,0,0,1,"probable",9406,"pc100000000001","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",5,"true","identity",3,"secrete uric acid crystals","chimps","horses",0,1,0,0,0,0,0,0,0,1,0,0,"necessary",19884,"pc010000000100","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",4,"false","contingent",4,"have a tympanic membrane in their inner ears","dolphins","elephants",0,0,0,0,0,1,0,0,1,0,0,0,"none",8985,"pc000001001000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",5,"false","contingent",5,"have seasmoid bones","gorillas","seals",0,0,1,0,0,0,1,0,0,0,0,0,"possible",7836,"pc001000100000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",3,"false","contingent",6,"have enzyme X132 in their bloodstreams","chimps","cows",1,1,0,0,0,0,0,0,0,0,0,0,"likely",7648,"pc110000000000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",5,"false","contingent",7,"have blood salinity which declines from infancy to maturity","elephants","mice",0,0,0,1,0,1,0,0,0,0,0,0,"plausible",12176,"pc000101000000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","reject",4,"false","contingent",8,"continuously shed their outer keratin layer","rhinos","dolphins",0,0,0,0,0,0,0,1,1,0,0,0,"necessary",10710,"pc000000011000","English"
"$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","A2HHKS3P8T7SH1","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","reject",2,"false","contingent",9,"have a blood PH of 7.9","squirrels","cows",1,0,0,0,1,0,0,0,0,0,0,0,"certain",5924,"pc100010000000","English"
